id,pattern,romanization,meaning,topik_level,category,explanation,examples,tags
0042,"[BẢNG] V-는 김에 vs V-는 대로",,"So sánh: nhân tiện... vs ngay khi...","TOPIK II","comparison_table","BẢNG SO SÁNH: V-는 김에 (nhân tiện làm việc khác) vs V-는 대로 (ngay sau khi/theo như). Phân biệt cách dùng.","[{""korean"":""나온 김에 산책할까요?"",""vietnamese"":""Nhân tiện ra ngoài thì đi dạo nhé? (김에)""},{""korean"":""끝나는 대로 전화할게요."",""vietnamese"":""Ngay khi xong tôi sẽ gọi. (대로)""}]","{""topik"",""table"",""intermediate""}"
0043,"[BẢNG] V-는 데다가 vs V-는 데에",,"So sánh: thêm vào đó... vs trong việc...","TOPIK II","comparison_table","BẢNG SO SÁNH: V-는 데다가 (bổ sung thêm) vs V-는 데에 (mục đích/lĩnh vực). Dễ nhầm lẫn.","[{""korean"":""비가 오는 데다가 바람도 불어요."",""vietnamese"":""Trời mưa thêm vào đó gió cũng thổi. (데다가)""},{""korean"":""한국어를 배우는 데에 시간이 걸려요."",""vietnamese"":""Để học tiếng Hàn mất thời gian. (데에)""}]","{""topik"",""table"",""intermediate""}"
0044,"[BẢNG] V-는 모양이다 vs V-는 법이다 vs V-는 법하다",,"So sánh: có vẻ như... vs đương nhiên... vs dường như...","TOPIK II","comparison_table","BẢNG SO SÁNH 3 mẫu dễ nhầm: 모양이다 (suy đoán từ quan sát), 법이다 (chân lý), 법하다 (suy đoán có căn cứ).","[{""korean"":""비가 오는 모양이에요."",""vietnamese"":""Có vẻ như trời mưa. (모양이다)""},{""korean"":""노력하면 꿈은 이루어지는 법이에요."",""vietnamese"":""Nỗ lực thì ước mơ đương nhiên thành hiện thực. (법이다)""}]","{""topik"",""table"",""intermediate""}"
0045,"[BẢNG] V-는 사이에",,"trong lúc.../trong khi... (bảng mở rộng)","TOPIK II","comparison_table","BẢNG MỞ RỘNG: V-는 사이에 - các cách dùng và ví dụ bổ sung.","[{""korean"":""제가 없는 사이에 무슨 일이 있었어요?"",""vietnamese"":""Trong lúc tôi không có mặt đã có chuyện gì?""},{""korean"":""자는 사이에 도둑이 들었어요."",""vietnamese"":""Trong lúc ngủ đã bị trộm vào.""}]","{""topik"",""table"",""intermediate""}"
0046,"[BẢNG] Tổng hợp V-는 + N (danh từ hóa)",,"Tổng hợp các mẫu V-는 + danh từ","TOPIK II","comparison_table","BẢNG TỔNG HỢP: Các mẫu ngữ pháp dùng V-는 kết hợp với danh từ phía sau. Phân loại theo ý nghĩa.","[]","{""topik"",""table"",""intermediate""}"
0047,"[BẢNG] Tổng hợp V-는 (tiếp theo)",,"Tổng hợp các mẫu V-는 (tiếp)","TOPIK II","comparison_table","BẢNG TỔNG HỢP (tiếp): Các mẫu ngữ pháp dùng V-는 - phần 2.","[]","{""topik"",""table"",""intermediate""}"
0048,"[BẢNG] Tổng hợp V-는 (tiếp theo)",,"Tổng hợp các mẫu V-는 (tiếp)","TOPIK II","comparison_table","BẢNG TỔNG HỢP (tiếp): Các mẫu ngữ pháp dùng V-는 - phần 3.","[]","{""topik"",""table"",""intermediate""}"
0049,"[BẢNG] Tổng hợp V-는 (tiếp theo)",,"Tổng hợp các mẫu V-는 (tiếp)","TOPIK II","comparison_table","BẢNG TỔNG HỢP (tiếp): Các mẫu ngữ pháp dùng V-는 - phần 4.","[]","{""topik"",""table"",""intermediate""}"
0050,"[BẢNG] Tổng hợp V-는 (tiếp theo)",,"Tổng hợp các mẫu V-는 (tiếp)","TOPIK II","comparison_table","BẢNG TỔNG HỢP (tiếp): Các mẫu ngữ pháp dùng V-는 - phần 5.","[]","{""topik"",""table"",""intermediate""}"
0051,"[BẢNG] Tổng hợp V-는 (tiếp theo)",,"Tổng hợp các mẫu V-는 (tiếp)","TOPIK II","comparison_table","BẢNG TỔNG HỢP (tiếp): Các mẫu ngữ pháp dùng V-는 - phần 6.","[]","{""topik"",""table"",""intermediate""}"
0052,"[BẢNG] Tổng hợp V-는 (tiếp theo)",,"Tổng hợp các mẫu V-는 (tiếp)","TOPIK II","comparison_table","BẢNG TỔNG HỢP (tiếp): Các mẫu ngữ pháp dùng V-는 - phần 7.","[]","{""topik"",""table"",""intermediate""}"
0053,"[BẢNG] Tổng hợp V-는 (tiếp theo)",,"Tổng hợp các mẫu V-는 (tiếp)","TOPIK II","comparison_table","BẢNG TỔNG HỢP (tiếp): Các mẫu ngữ pháp dùng V-는 - phần 8.","[]","{""topik"",""table"",""intermediate""}"
0054,"[BẢNG] Tổng hợp V-는 (cuối)",,"Tổng hợp các mẫu V-는 (cuối)","TOPIK II","comparison_table","BẢNG TỔNG HỢP (cuối): Tổng kết các mẫu ngữ pháp dùng V-는.","[]","{""topik"",""table"",""intermediate""}"
