id,pattern,romanization,meaning,topik_level,category,explanation,examples,tags
0003,"V-는 길이다",,"đang trên đường đi...","TOPIK II","movement","Diễn tả hành động đang diễn ra trên đường đi đến đâu đó. Kết hợp với các động từ chỉ sự di chuyển như 가다, 오다, 다니다.","[{""korean"":""회사에 가는 길입니다."",""vietnamese"":""Tôi đang trên đường đi đến công ty.""},{""korean"":""집에 오는 길이에요."",""vietnamese"":""Tôi đang trên đường về nhà.""}]","{""topik"",""movement"",""intermediate""}"
0004,"V-는 길에",,"nhân tiện trên đường đi...","TOPIK II","movement","Diễn tả nhân tiện làm một việc gì đó trên đường đi đâu đó. Cấu trúc: V-는 길에 + hành động phụ.","[{""korean"":""회사에 가는 길에 커피를 샀어요."",""vietnamese"":""Trên đường đi làm tôi đã mua cà phê.""},{""korean"":""집에 오는 길에 친구를 만났어요."",""vietnamese"":""Trên đường về nhà tôi đã gặp bạn.""}]","{""topik"",""movement"",""intermediate""}"
0005,"V-는 날에는",,"vào ngày mà...","TOPIK II","time","Diễn tả vào những ngày mà một hành động/sự việc nào đó xảy ra. Nhấn mạnh tính chất đặc biệt của ngày đó.","[{""korean"":""비가 오는 날에는 집에 있고 싶어요."",""vietnamese"":""Vào những ngày mưa tôi muốn ở nhà.""},{""korean"":""시험 보는 날에는 일찍 일어나요."",""vietnamese"":""Vào ngày thi tôi dậy sớm.""}]","{""topik"",""time"",""intermediate""}"
0006,"V-는 바람에",,"vì... nên... (nguyên nhân tiêu cực)","TOPIK II","cause","Diễn tả nguyên nhân dẫn đến kết quả không mong muốn. Thường dùng với các tình huống bất ngờ, ngoài ý muốn.","[{""korean"":""비가 오는 바람에 소풍을 못 갔어요."",""vietnamese"":""Vì trời mưa nên không đi picnic được.""},{""korean"":""늦게 일어나는 바람에 지각했어요."",""vietnamese"":""Vì dậy muộn nên bị trễ giờ.""}]","{""topik"",""cause"",""intermediate""}"
0007,"V-는 통에",,"vì... nên... (nguyên nhân hỗn loạn)","TOPIK II","cause","Diễn tả nguyên nhân gây ra tình huống hỗn loạn, ồn ào dẫn đến kết quả không tốt.","[{""korean"":""아이들이 우는 통에 전화를 못 받았어요."",""vietnamese"":""Vì bọn trẻ khóc ầm ĩ nên không nghe điện thoại được.""},{""korean"":""사람들이 떠드는 통에 발표를 잘 못 들었어요."",""vietnamese"":""Vì mọi người ồn ào nên không nghe rõ bài phát biểu.""}]","{""topik"",""cause"",""intermediate""}"
0008,"V-는 둥 마는 둥",,"làm qua loa, làm cho có lệ","TOPIK II","manner","Diễn tả hành động làm qua loa, không tập trung, làm cho có lệ. Cấu trúc: V-는 둥 마는 둥 + hành động chính.","[{""korean"":""아침을 먹는 둥 마는 둥 회사에 갔어요."",""vietnamese"":""Ăn sáng qua loa rồi đi làm.""},{""korean"":""숙제를 하는 둥 마는 둥 학교에 갔어요."",""vietnamese"":""Làm bài tập qua loa rồi đi học.""}]","{""topik"",""manner"",""intermediate""}"
0009,"V-는 듯이",,"như thể là...","TOPIK II","comparison","Diễn tả hành động giống như, tương tự như một điều gì đó. So sánh ẩn dụ.","[{""korean"":""그는 아는 듯이 말했어요."",""vietnamese"":""Anh ấy nói như thể là biết vậy.""},{""korean"":""비가 오는 듯이 날씨가 흐려요."",""vietnamese"":""Trời u ám như thể sắp mưa.""}]","{""topik"",""comparison"",""intermediate""}"
0010,"V-는 듯하다",,"có vẻ như...","TOPIK II","supposition","Diễn tả suy đoán dựa trên quan sát, cảm nhận. Tương tự ""có vẻ như, hình như"".","[{""korean"":""비가 오는 듯해요."",""vietnamese"":""Có vẻ như trời sắp mưa.""},{""korean"":""그 사람이 아는 듯해요."",""vietnamese"":""Người đó có vẻ như biết.""}]","{""topik"",""supposition"",""intermediate""}"
0011,"V-는 마당에",,"trong hoàn cảnh/tình huống...","TOPIK II","situation","Diễn tả trong hoàn cảnh, tình huống nào đó thì hành động tiếp theo xảy ra.","[{""korean"":""시험을 앞둔 마당에 놀 수 없어요."",""vietnamese"":""Trong hoàn cảnh sắp thi thì không thể đi chơi được.""},{""korean"":""결혼식을 앞둔 마당에 싸우면 안 돼요."",""vietnamese"":""Trong hoàn cảnh sắp cưới thì không nên cãi nhau.""}]","{""topik"",""situation"",""intermediate""}"
0012,"V-는 반면에",,"trong khi... ngược lại...","TOPIK II","contrast","Diễn tả sự tương phản, đối lập giữa hai vế. Mặt này thì... mặt khác thì...","[{""korean"":""그는 공부는 잘하는 반면에 운동은 못해요."",""vietnamese"":""Anh ấy học giỏi trong khi thể thao thì kém.""},{""korean"":""이 음식은 값은 싼 반면에 맛은 없어요."",""vietnamese"":""Món này giá rẻ nhưng ngược lại vị không ngon.""}]","{""topik"",""contrast"",""intermediate""}"
0013,"V-는 셈이다",,"coi như là...","TOPIK II","conclusion","Diễn tả kết quả có thể coi như là, xem như là một điều gì đó. Đưa ra kết luận sau khi cân nhắc.","[{""korean"":""이제 다 끝난 셈이에요."",""vietnamese"":""Bây giờ coi như là xong hết rồi.""},{""korean"":""그 가격이면 공짜인 셈이에요."",""vietnamese"":""Với giá đó thì coi như là miễn phí.""}]","{""topik"",""conclusion"",""intermediate""}"
0014,"V-는 셈 치다",,"cứ coi như là...","TOPIK II","assumption","Diễn tả giả định, tạm coi một tình huống như là thật để hành động tiếp theo.","[{""korean"":""없는 셈 치고 다시 시작합시다."",""vietnamese"":""Cứ coi như không có gì và bắt đầu lại.""},{""korean"":""잃어버린 셈 치고 새로 사요."",""vietnamese"":""Cứ coi như làm mất và mua cái mới.""}]","{""topik"",""assumption"",""intermediate""}"
0015,"V-는 수가 있다",,"có khả năng.../có thể...","TOPIK II","possibility","Diễn tả khả năng một việc gì đó có thể xảy ra. Nhấn mạnh tính bất ngờ hoặc không mong muốn.","[{""korean"":""비밀이 새는 수가 있어요."",""vietnamese"":""Bí mật có khả năng bị lộ.""},{""korean"":""길을 잃어버리는 수가 있으니까 조심하세요."",""vietnamese"":""Có khả năng bị lạc đường nên hãy cẩn thận.""}]","{""topik"",""possibility"",""intermediate""}"
