id,pattern,romanization,meaning,topik_level,category,explanation,examples,tags
0055,"[BẢNG] Tổng hợp V-는 + N (phần 1)",,"Bảng tổng hợp V-는 + danh từ","TOPIK II","summary_table","Bảng tổng hợp hệ thống các mẫu V-는 kết hợp danh từ.","[]","table,intermediate"
0056,"[BẢNG] Tổng hợp V-는 + N (phần 2)",,"Bảng tổng hợp V-는 + danh từ (tiếp)","TOPIK II","summary_table","Bảng tổng hợp (tiếp).","[]","table,intermediate"
0057,"[BẢNG] Tổng hợp V-는 + N (phần 3)",,"Bảng tổng hợp V-는 + danh từ (tiếp)","TOPIK II","summary_table","Bảng tổng hợp (tiếp).","[]","table,intermediate"
0058,"[BẢNG] Tổng hợp V-는 + N (phần 4)",,"Bảng tổng hợp V-는 + danh từ (tiếp)","TOPIK II","summary_table","Bảng tổng hợp (tiếp).","[]","table,intermediate"
0059,"[BẢNG] Tổng hợp V-는 + N (phần 5)",,"Bảng tổng hợp V-는 + danh từ (tiếp)","TOPIK II","summary_table","Bảng tổng hợp (tiếp).","[]","table,intermediate"
0060,"[BẢNG] So sánh V-는 중이다 vs V-는 중에",,"Bảng so sánh: đang... vs trong khi đang...","TOPIK II","comparison_table","Bảng so sánh 2 mẫu ngữ pháp thời gian tiếp diễn.","[]","table,intermediate"
0061,"[BẢNG] So sánh V-는 척하다 vs V-는 체하다",,"Bảng so sánh: giả vờ... (2 cách)","TOPIK II","comparison_table","Bảng so sánh 2 mẫu ngữ pháp giả vờ.","[]","table,intermediate"
0062,"[BẢNG] So sánh V-는 바람에 vs V-는 통에",,"Bảng so sánh: vì... nên... (2 dạng nguyên nhân)","TOPIK II","comparison_table","Bảng so sánh 2 mẫu nguyên nhân tiêu cực.","[]","table,intermediate"
0063,"[BẢNG] So sánh V-는 탓에 vs V-는 탓이다",,"Bảng so sánh: tại vì... vs là tại vì...","TOPIK II","comparison_table","Bảng so sánh 2 mẫu đổ lỗi.","[]","table,intermediate"
0064,"[BẢNG] So sánh V-는 대로 vs V-는 김에",,"Bảng so sánh: ngay khi... vs nhân tiện...","TOPIK II","comparison_table","Bảng so sánh 2 mẫu chỉ thời điểm và cơ hội.","[]","table,intermediate"
0065,"[BẢNG] So sánh V-는 데다가 vs V-는 데에",,"Bảng so sánh: thêm vào đó... vs trong việc...","TOPIK II","comparison_table","Bảng so sánh 2 mẫu dễ nhầm lẫn.","[]","table,intermediate"
0066,"[BẢNG] So sánh V-는 법이다 vs V-는 법하다",,"Bảng so sánh: đương nhiên... vs dường như...","TOPIK II","comparison_table","Bảng so sánh 2 mẫu có gốc 법.","[]","table,intermediate"
0067,"[BẢNG] So sánh V-는 모양이다 vs V-는 듯하다",,"Bảng so sánh: có vẻ như... (2 cách)","TOPIK II","comparison_table","Bảng so sánh 2 mẫu suy đoán.","[]","table,intermediate"
