id,pattern,romanization,meaning,topik_level,category,explanation,examples,tags
0029,"V-는 데에",,"trong việc.../để...","TOPIK II","purpose","Diễn tả mục đích hoặc lĩnh vực mà hành động được áp dụng. Dùng để nói về việc cần thiết cho một hành động.","[{""korean"":""한국어를 배우는 데에 시간이 많이 걸려요."",""vietnamese"":""Để học tiếng Hàn mất nhiều thời gian.""},{""korean"":""이 책은 공부하는 데에 도움이 돼요."",""vietnamese"":""Cuốn sách này có ích trong việc học.""}]","{""topik"",""purpose"",""intermediate""}"
0030,"V-는 모양이다",,"có vẻ như.../hình như...","TOPIK II","supposition","Diễn tả suy đoán dựa trên quan sát tình huống bên ngoài. Tương tự V-는 듯하다.","[{""korean"":""밖에 비가 오는 모양이에요."",""vietnamese"":""Bên ngoài có vẻ như đang mưa.""},{""korean"":""그 사람이 아픈 모양이에요."",""vietnamese"":""Người đó hình như bị ốm.""}]","{""topik"",""supposition"",""intermediate""}"
0031,"V-는 법이다",,"đương nhiên là.../lẽ đương nhiên...","TOPIK II","principle","Diễn tả một chân lý, quy luật tự nhiên, điều hiển nhiên phải xảy ra.","[{""korean"":""열심히 공부하면 성적이 오르는 법이에요."",""vietnamese"":""Học chăm chỉ thì điểm đương nhiên sẽ tăng.""},{""korean"":""노력하면 꿈은 이루어지는 법이에요."",""vietnamese"":""Nỗ lực thì ước mơ đương nhiên sẽ thành hiện thực.""}]","{""topik"",""principle"",""intermediate""}"
0032,"V-는 법하다",,"có vẻ như.../dường như...","TOPIK II","supposition","Diễn tả suy đoán có căn cứ, dựa trên kinh nghiệm hoặc quan sát.","[{""korean"":""그 사람도 알 법한데 왜 말을 안 하지?"",""vietnamese"":""Người đó dường như cũng biết sao không nói?""},{""korean"":""비가 올 법한 날씨예요."",""vietnamese"":""Thời tiết có vẻ như sắp mưa.""}]","{""topik"",""supposition"",""intermediate""}"
0033,"V-는 사이에",,"trong lúc.../trong khi...","TOPIK II","time","Diễn tả trong khoảng thời gian một hành động đang diễn ra thì hành động khác xảy ra.","[{""korean"":""제가 없는 사이에 무슨 일이 있었어요?"",""vietnamese"":""Trong lúc tôi không có mặt đã có chuyện gì xảy ra?""},{""korean"":""자는 사이에 도둑이 들었어요."",""vietnamese"":""Trong lúc ngủ đã bị trộm vào.""}]","{""topik"",""time"",""intermediate""}"
0034,"[BẢNG] V-는 셈이다 vs V-는 셈 치다",,"So sánh: coi như là... vs cứ coi như là...","TOPIK II","comparison_table","BẢNG SO SÁNH: V-는 셈이다 (kết luận sau cân nhắc) vs V-는 셈 치다 (giả định tạm thời). Xem chi tiết từng mẫu riêng.","[{""korean"":""이제 다 끝난 셈이에요."",""vietnamese"":""Bây giờ coi như là xong hết rồi. (셈이다)""},{""korean"":""없는 셈 치고 다시 시작합시다."",""vietnamese"":""Cứ coi như không có gì và bắt đầu lại. (셈 치다)""}]","{""topik"",""table"",""intermediate""}"
0035,"[BẢNG] V-는 수가 있다 vs V-는 수가 없다",,"So sánh: có khả năng... vs không thể...","TOPIK II","comparison_table","BẢNG SO SÁNH: V-는 수가 있다 (khả năng xảy ra) vs V-는 수가 없다 (không thể xảy ra). Cặp đối lập.","[{""korean"":""비밀이 새는 수가 있어요."",""vietnamese"":""Bí mật có khả năng bị lộ. (수가 있다)""},{""korean"":""그런 일은 있을 수가 없어요."",""vietnamese"":""Chuyện đó không thể có được. (수가 없다)""}]","{""topik"",""table"",""intermediate""}"
0036,"V-는 수가 없다",,"không có khả năng.../không thể...","TOPIK II","impossibility","Diễn tả không có khả năng xảy ra. Đối lập với V-는 수가 있다.","[{""korean"":""그런 일은 있을 수가 없어요."",""vietnamese"":""Chuyện đó không thể có được.""},{""korean"":""내가 질 리가 없어요."",""vietnamese"":""Tôi không thể thua được.""}]","{""topik"",""impossibility"",""intermediate""}"
0037,"[BẢNG] V-는 중이다 vs V-는 중에",,"So sánh: đang... vs trong khi đang...","TOPIK II","comparison_table","BẢNG SO SÁNH: V-는 중이다 (đang làm gì) vs V-는 중에 (trong khi đang làm thì...). Khác biệt về thời điểm.","[{""korean"":""지금 밥을 먹는 중이에요."",""vietnamese"":""Bây giờ tôi đang ăn cơm. (중이다)""},{""korean"":""밥을 먹는 중에 전화가 왔어요."",""vietnamese"":""Trong khi đang ăn cơm thì có điện thoại. (중에)""}]","{""topik"",""table"",""intermediate""}"
0038,"[BẢNG] V-는 척하다 vs V-는 체하다",,"So sánh: giả vờ... (2 cách dùng)","TOPIK II","comparison_table","BẢNG SO SÁNH: V-는 척하다 và V-는 체하다 đều có nghĩa ""giả vờ"", có thể dùng thay thế cho nhau.","[{""korean"":""모르는 척했어요."",""vietnamese"":""Tôi đã giả vờ không biết. (척하다)""},{""korean"":""못 들은 체했어요."",""vietnamese"":""Tôi đã giả vờ không nghe thấy. (체하다)""}]","{""topik"",""table"",""intermediate""}"
